Ciclo,Curso,Nombre del curso
OPT,CI0141,BASES DE DATOS AVANZADAS
OPT,CI0143,SEGURIDAD DE SISTEMAS COMPUTACIONALES
OPT,CI0147,PROCESAMIENTO DE SONIDO
OPT,CI0148,APRENDIZAJE AUTOMÁTICO
OPT,CI0149,COMUNICACIÓN CIENTÍFICA
OPT,CI0150,MODELADO Y SIMULACIÓN BASADA EN AGENTES
OPT,CI0151,GRAFICACIÓN Y VISUALIZACIÓN
OPT,CI0154,PROGRAMACIÓN DE SERVICIOS WEB
OPT,CI0155,SISTEMAS EMPOTRADOS DE TIEMPO REAL
OPT,CI0157,REDES PROGRAMABLES
OPT,CI0160,ROBÓTICA
OPT,CI0160,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
OPT,CI0162,CREACIÓN DE VIDEOJUEGOS
OPT,CI0163,ANÁLISIS DE GRANDES VOLÚMENES DE DATOS

