Ciclo,Curso,Nombre del curso
OPT,CI0124,COMPUTABILIDAD Y COMPLEJIDAD
OPT,CI0131,DISEÑO DE EXPERIMENTOS
OPT,CI0148,APRENDIZAJE AUTOMÁTICO
OPT,CI0149,COMUNICACIÓN CIENTÍFICA
OPT,CI0150,MODELADO Y SIMULACIÓN BASADA EN AGENTES
OPT,"CI0154",PROGRAMACIÓN DE SERVICIOS WEB
OPT,CI0155,SISTEMAS EMPOTRADOS DE TIEMPO REAL
OPT,CI0157,REDES PROGRAMABLES
OPT,CI0160,ROBÓTICA
OPT,CI0161,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
OPT,CI0162,CREACIÓN DE VIDEOJUEGOS
OPT,CI0163,ANÁLISIS DE GRANDES VOLÚMENES DE DATOS

