Ciclo,Curso,Nombre del curso
OPT,CI0148,APRENDIZAJE AUTOMÁTICO
OPT,CI0150,MODELADO Y SIMULACIÓN BASADA EN AGENTES
OPT,CI0154,PROGRAMACIÓN DE SERVICIOS WEB
OPT,CI0155,SISTEMAS EMPOTRADOS DE TIEMPO REAL
OPT,CI0157,REDES PROGRAMABLES
OPT,CI0158,INFRAESTRUCTURAS DE LLAVE PÚBLICA
OPT,CI0159,COMPUTACIÓN EN LA NUBE
OPT,CI0160,ROBÓTICA
OPT,CI0161,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
OPT,CI0163,ANÁLISIS DE GRANDES VOLÚMENES DE DATOS
OPT,CI0146,COMPILADORES
OPT,MA1006,INTRODUCCIÓN AL ANÁLISIS NUMÉRICO
OPT,CI0156,PRÁCTICA SUPERVISADA
OPT,CI0164,PRÁCTICA PROFESIONAL

