Ciclo,Curso,Nombre del curso
1,CI0110,INTRODUCCIÓN A LA COMPUTACIÓN
1,MA0291,INTRODUCCIÓN  A LA MATEMÁTICA PARA COMPUTACIÓN
2,CI0111,ESTRUCTURAS DISCRETAS
2,CI0112,PROGRAMACIÓN I
2,MA0293,CÁLCULO PARA COMPUTACIÓN I
3,CI0113,PROGRAMACIÓN II
3,CI0114,FUNDAMENTOS DE ARQUITECTURA
3,MA0292,ÁLGEBRA LINEAL PARA COMPUTACIÓN
3,MA0294,CÁLCULO PARA COMPUTACIÓN II
4,CI0115,PROBABILIDAD Y ESTADÍSTICA
4,CI0116,ANÁLISIS DE ALGORITMOS Y ESTRUCTURAS DE DA
4,CI0117,PROGRAMACIÓN PARALELA Y CONCURRENTE
4,CI0118,LENGUAJE ENSAMBLADOR
4,CI0119,PROYECTO INTEGRADOR DE ARQUITECTURA Y ENSAMBLADOR
5,CI0121,REDES DE COMUNICACIÓN DE DATOS
5,CI0122,SISTEMAS OPERATIVOS
5,CI0123,PROYECTO INTEGRADOR DE SISTEMAS OPERATIVOS
6,CI0126,INGENIERÍA DEL SOFTWARE
6,CI0127,BASE DE DATOS
6,CI0128,PROYECTO INTEGRADOR DE INGENIERÍA DE SOFTWARE
8,CI0133,COMPUTACIÓN Y SOCIEDAD
5,CI0124,COMPUTABILIDAD Y COMPLEJIDAD
5,CI0130,MÉTODOS DE MODELADO Y OPTIMIZACIÓN
6,CI0129,INTELIGENCIA ARTIFICIAL
"
7",CI0120,ARQUITECTURA DE COMPUTADORAS
7,CI0131,DISEÑO DE EXPERIMENTOS
7,MA1005,ECUACIONES DIFERENCIALES
8,CI0134,INVESTIGACIÓN EN CIENCIAS DE LA COMPUTACIÓN
5,CI0135,INTERACCIÓN HUMANO-COMPUTADOR
5,CI0136,DISEÑO DE SOFTWARE
6,CI0137,DESARROLLO DE APLICACIONES WEB
7,CI0139,ADMINISTRACIÓN DE PROYECTOS
7,CI0140,CALIDAD DE SOFTWARE
7,CI0141,BASES DE DATOS AVANZADAS
7,CI0143,SEGURIDAD DE SISTEMAS COMPUTACIONALES
8,CI0142,PRUEBAS DE SOFTWARE
5,CI0124,COMPUTABILIDAD Y COMPLEJIDAD
5,CI0130,MÉTODOS DE MODELADO Y OPTIMIZACIÓN
6,CI0125,DESEMPEÑO Y EXPERIMENTACIÓN
7,CI0138,INTEGRACIÓN DE INFRAESTRUCTURA DE TI
7,CI0141,BASES DE DATOS AVANZADAS
7,CI0143,SEGURIDAD DE SISTEMAS COMPUTACIONALES
8,CI0144,DISEÑO Y OPERACIÓN DE SERVICIOS DE INFRAESTRUCTURA
8,CI0145,ADMINISTRACIÓN Y PLANIFICACIÓN DE TI
OPT,CI0141,BASES DE DATOS AVANZADAS
OPT,CI0143,SEGURIDAD DE SISTEMAS COMPUTACIONALES
OPT,CI0147,PROCESAMIENTO DE SONIDO
OPT,CI0148,APRENDIZAJE AUTOMÁTICO
OPT,CI0149,COMUNICACIÓN CIENTÍFICA
OPT,CI0150,MODELADO Y SIMULACIÓN BASADA EN AGENTES
OPT,CI0151,GRAFICACIÓN Y VISUALIZACIÓN
OPT,CI0154,PROGRAMACIÓN DE SERVICIOS WEB
OPT,CI0155,SISTEMAS EMPOTRADOS DE TIEMPO REAL
OPT,CI0157,REDES PROGRAMABLES
OPT,CI0160,ROBÓTICA
OPT,CI0160,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
OPT,CI0162,CREACIÓN DE VIDEOJUEGOS
OPT,CI0163,ANÁLISIS DE GRANDES VOLÚMENES DE DATOS
OPT,CI0124,COMPUTABILIDAD Y COMPLEJIDAD
OPT,CI0131,DISEÑO DE EXPERIMENTOS
OPT,CI0148,APRENDIZAJE AUTOMÁTICO
OPT,CI0149,COMUNICACIÓN CIENTÍFICA
OPT,CI0150,MODELADO Y SIMULACIÓN BASADA EN AGENTES
OPT,"CI0154
",PROGRAMACIÓN DE SERVICIOS WEB
OPT,CI0155,SISTEMAS EMPOTRADOS DE TIEMPO REAL
OPT,CI0157,REDES PROGRAMABLES
OPT,CI0160,ROBÓTICA
OPT,CI0161,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
OPT,CI0162,CREACIÓN DE VIDEOJUEGOS
OPT,CI0163,ANÁLISIS DE GRANDES VOLÚMENES DE DATOS
OPT,CI0148,APRENDIZAJE AUTOMÁTICO
OPT,CI0150,MODELADO Y SIMULACIÓN BASADA EN AGENTES
OPT,CI0154,PROGRAMACIÓN DE SERVICIOS WEB
OPT,CI0155,SISTEMAS EMPOTRADOS DE TIEMPO REAL
OPT,CI0157,REDES PROGRAMABLES
OPT,CI0158,INFRAESTRUCTURAS DE LLAVE PÚBLICA
OPT,CI0159,COMPUTACIÓN EN LA NUBE
OPT,CI0160,ROBÓTICA
OPT,CI0161,DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES
OPT,CI0163,ANÁLISIS DE GRANDES VOLÚMENES DE DATOS
OPT,CI0146,COMPILADORES
OPT,"MA1006 
",INTRODUCCIÓN AL ANÁLISIS NUMÉRICO
OPT,CI0156,PRÁCTICA SUPERVISADA
OPT,CI0164,PRÁCTICA PROFESIONAL

